workload,stlb.miss,L1-D.loads-page_table,L1-D.load-misses-page_table,L1-D.loads-tlb_entry,L1-D.load-misses-tlb_entry,L1-D.loads-non_page_table,L1-D.load-misses-non_page_table,L2.loads-page_table,L2.load-misses-page_table,L2.loads-tlb_entry,L2.load-misses-tlb_entry,L2.loads-non_page_table,L2.load-misses-non_page_table,pwc_L2.access,pwc_L2.miss,pwc_L3.access,pwc_L3.miss,pwc_L4.access,pwc_L4.miss,PTW_0.page_walks,dram.reads,dram.writes,dram.acceeses
bc,5602582,6276003,6276003,5612484,5612484,109316481,10309893,6276003,4838711,5612484,3667051,12110290,9588975,3657140,2565877,3657140,134733,3657140,2,3657140,24990181,8122,24998303
bfs,35800717,35795940,35795940,35826889,35826889,194611916,72988541,35795940,18096337,35826889,17359365,75385346,71801285,17333019,16966787,17333019,1550089,17333019,2,17333019,120329157,25152,120354309
cc,43172216,43825237,43825237,43204185,43204185,201034162,88430709,43825237,22146645,43204185,21226221,90345140,86635810,21194191,20738766,21194191,1962334,21194191,2,21194191,139704508,7619,139712127
dlrm,35285837,35737061,35737061,35316120,35316120,194611916,72988210,35737061,18076141,35316120,17334461,75382148,71799052,17304011,16938420,17304011,1548563,17304011,2,17304011,120277969,25222,120303191
gc,31629082,41043356,41043356,31649203,31649203,176427351,66308135,41043356,21878460,31649203,16531657,67024167,58628135,16508984,16193365,16508984,8656462,16508984,3,16508984,100229292,35609,100264901
gen,31616663,41049410,41049410,31637427,31637427,176427351,66307516,41049410,21873455,31637427,16522840,67024067,58625845,16499598,16184505,16499598,8681678,16499598,3,16499598,100214485,36684,100251169
pr,19296702,17387519,17387519,19307210,19307210,183542072,65385078,17387519,8952334,19307210,9008803,66690621,64379805,8998291,8337536,8998291,61992,8998291,2,8998291,97354328,7987,97362315
rnd,35545756,5728576,5728576,35553614,35553614,76547682,39266547,5728576,2873113,35553614,2972546,39301647,38029811,2964687,2764091,2964687,2,2964687,2,2964687,43816415,16178,43832593
sssp,33085790,37882576,37882576,33104482,33104482,194041548,76184651,37882576,29140409,33104482,21754863,77008680,74357161,21736049,15575093,21736049,999740,21736049,2,21736049,127252436,5412,127257848
tc,3391974,4395691,4395691,3413751,3413751,171279939,9727907,4395691,2195361,3413751,2255070,12269717,10911433,2233270,2174008,2233270,9,2233270,2,2233270,23378813,3507,23382320
xs,7376460,1192847,1192847,7382384,7382384,117526877,18328297,1192847,791845,7382384,719336,19650689,16737633,713054,475781,713054,8417,713054,2,713054,19007775,3,19007778
