workload,Data Blocks,PTE Blocks,TLB Blocks
bc,32.462060546875,36.07664794921875,31.46129150390625
bfs,11.56270751953125,36.73211669921875,51.70517578125
cc,7.1642578125,38.53563232421875,54.30010986328125
dlrm,11.583447265625,36.79525146484375,51.62130126953125
gc,5.40513916015625,44.5416748046875,50.05318603515625
gen,5.41043701171875,44.5087646484375,50.08079833984375
pr,31.37327880859375,27.9416015625,40.68511962890625
rnd,52.377783203125,4.21693115234375,43.40528564453125
sssp,2.6218994140625,49.38690185546875,47.99119873046875
tc,22.77298583984375,27.14119873046875,50.0858154296875
xs,0.048828125,33.845458984375,66.105712890625
MEAN,16.616620427911933,34.520198197798294,48.86318137428977
