workload,Data Blocks,PTE Blocks,TLB Blocks
bc,49.6634033203125,27.5224853515625,22.814111328125
bfs,54.939697265625,18.318603515625,26.74169921875
cc,54.2722412109375,18.7140869140625,27.013671875
dlrm,55.2087646484375,18.3941650390625,26.3970703125
gc,53.5024169921875,23.3397705078125,23.1578125
gen,53.4997314453125,23.340869140625,23.1593994140625
pr,62.1577392578125,15.549462890625,22.2927978515625
rnd,39.36201171875,15.9738525390625,44.6641357421875
sssp,52.75576171875,24.837939453125,22.406298828125
tc,60.9638427734375,16.8414306640625,22.1947265625
xs,63.272998046875,7.422412109375,29.30458984375
MEAN,54.508964399857966,19.114098011363634,26.37693758877841
