workload,Perfect L2 cache for TLB Blocks,Perfect STLB,Perfect DTLB
bc,1.433380683,1.473922183,1.520981285
bfs,1.115562113,1.129829175,1.150430846
cc,1.110067004,1.123930243,1.141543406
dlrm,1.115063921,1.129324611,1.149917082
gc,1.210206584,1.246952917,1.277037716
gen,1.209958116,1.246696904,1.276775527
pr,1.08415905,1.096040784,1.115363086
rnd,1.622303526,1.704863117,1.780028686
sssp,1.202458238,1.242505563,1.272565207
tc,1.101980013,1.11053881,1.123080173
xs,1.272082895,1.303526418,1.358675317
GEOMEAN,1.215961573,1.244026143,1.274706279
