workload,Stream Prefetcher,IP Stride,Next Line
bc,1.031603698,1.019161074,1.032068527
bfs,1.008606516,1.003477381,0.9966428047
cc,1.00745578,1.003497653,1.001371746
dlrm,1.008375504,1.003423129,0.9975217157
gc,1.005893713,1.011201271,0.976095576
gen,1.005625035,1.010979236,0.9759094129
pr,1.00000408,1.002383296,0.9827532927
rnd,1.000047135,1.000020253,0.7632923303
sssp,1.002594682,1.000780806,0.9892095678
tc,1.020696138,1.028345871,1.158074343
xs,1.010865033,1.0147557,0.8433219402
GEOMEAN,1.009212408,1.008875434,0.969255531
