workload,Data Blocks,PTE Blocks,TLB Blocks
MEAN,58.80333251953124,16.521867231889207,24.674800248579544
bc,50.4176025390625,26.8197021484375,22.7626953125
bfs,59.03895263671875,16.86688232421875,24.0941650390625
cc,58.47152099609375,17.26644287109375,24.2620361328125
dlrm,59.24857177734375,16.93560791015625,23.8158203125
gc,55.4658203125,22.0980224609375,22.4361572265625
gen,55.46021728515625,22.0947998046875,22.44498291015625
pr,66.00927734375,13.95068359375,20.0400390625
rnd,52.38052978515625,4.21304931640625,43.4064208984375
sssp,53.9126953125,23.96285400390625,22.12445068359375
tc,64.04754638671875,14.261669921875,21.69078369140625
xs,72.38392333984375,3.2708251953125,24.34525146484375
